#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,Channel_Type,Subscribers,Total_Views,Total_Videos
39,Infobells - Hindi @UC1ciY6kR3yj3kaKZ6R7ewAg,46.6M,-,India,,14M,"Music, Entertainment, Film, Music of Asia",72200000,47704731912,933
40,Billie Eilish @UCiGm_E4ZwYSHV3bcW1pnSeQ,46.6M,0.7%,United States,,14M,"Pop music, Music, Independent music",58000000,22367936275,189
41,JuegaGerman @UCYiGq8XF7YQD00x7wAd62Zg,46.4M,0.4%,Chile,,13.9M,"Action-adventure game, Video game culture, Action game, Role-playing video game",55300000,18284176963,2447
42,Badabun @UCYWOjHweP2V-8kGKmmAmQJQ,45.7M,-,Mexico,,13.7M,"Society, Health, Lifestyle (sociology)",47600000,20173716900,28986
43,Felipe Neto @UCV306eHqgo0LvBf3Mh36AHg,44.4M,-,Brazil,,13.3M,"Film, Lifestyle (sociology), Entertainment",47800000,19454742349,6274
44,Get Movies @UClZkHt2kNIgyrTTPnSQV3SA,44.3M,-,Russia,,13.3M,"Film, Entertainment",57000000,38016657728,4390
45,whinderssonnunes @UC3KQ5GWANYF8lChqjZpXsQw,43.7M,-,,,13.1M,"Film, Entertainment, Humour",44600000,4734110313,1373
46,SonyMusicIndiaVEVO @UC3MLnJtqc_phABBriLRhtgQ,43.6M,-,,Music,13.1M,"Pop music, Music, Music of Asia",59800000,35483173732,3803
47,BRIGHT SIDE @UC4rlAVgAK0SGk-yTfe48Qpw,43.4M,-,,Fitness News,13M,Knowledge,44600000,11850922369,11404
48,Katy Perry @UCYvmuw-JtVrTZQ-7Y4kd63Q,43.1M,-,United States,,12.9M,"Entertainment, Lifestyle (sociology), Pop music, Music",46900000,29830870252,214
49,Bad Bunny @UCmBA_wu8xGg1OfOkfW13Q0Q,43.1M,-,Puerto Rico,,12.9M,"Electronic music, Music of Latin America, Music, Hip hop music, Pop music",52700000,47058948405,190
50,Você Sabia? @UCj0O6W8yDuLg3iraAXKgCrQ,43M,-,Brazil,,12.9M,"Society, Entertainment",47100000,8595776244,1898
51,Alan Walker @UCJrOtniJ0-NWz37R30urifQ,42.4M,-,Norway,,12.7M,"Electronic music, Music, Pop music",47500000,16798270899,1003
52,Like Nastya Show @UCS94J1s6-qc8v7btCdS2pNg,41.7M,-,United States,,12.5M,Lifestyle (sociology),44400000,22167748533,907
